###ÄNSI###
ghazi_government_duke_indo_aryan_north;Nawab;;;;;;;;;;;;;x
ghazi_government_duke_female_indo_aryan_north;Begum;;;;;;;;;;;;;x
ghazi_government_king_indo_aryan_north;Shah;;;;;;;;;;;;;x
ghazi_government_king_female_indo_aryan_north;Shahbanu;;;;;;;;;;;;;x
ghazi_government_kingdom_of_indo_aryan_north;Shahi of;;;;;;;;;;;;;x
ghazi_government_emperor_indo_aryan_north;Badshah;;;;;;;;;;;;;x
ghazi_government_emperor_female_indo_aryan_north;Badshahbanu;;;;;;;;;;;;;x
ghazi_government_count_indo_aryan_south;Zamindar;;;;;;;;;;;;;x
ghazi_government_count_female_indo_aryan_south;Zamindar;;;;;;;;;;;;;x
ghazi_government_county_of_indo_aryan_south;Jagir of;;;;;;;;;;;;;x
ghazi_government_duke_indo_aryan_south;Nawab;;;;;;;;;;;;;x
ghazi_government_duke_female_indo_aryan_south;Begum;;;;;;;;;;;;;x
ghazi_government_king_indo_aryan_south;Shah;;;;;;;;;;;;;x
ghazi_government_king_female_indo_aryan_south;Shahbanu;;;;;;;;;;;;;x
ghazi_government_kingdom_of_indo_aryan_south;Shahi of;;;;;;;;;;;;;x
ghazi_government_emperor_indo_aryan_south;Badshah;;;;;;;;;;;;;x
ghazi_government_emperor_female_indo_aryan_south;Badshahbanu;;;;;;;;;;;;;x
ghazi_government_count_indo_aryan_west;Zamindar;;;;;;;;;;;;;x
ghazi_government_count_female_indo_aryan_west;Zamindar;;;;;;;;;;;;;x
ghazi_government_county_of_indo_aryan_west;Jagir of;;;;;;;;;;;;;x
ghazi_government_duke_indo_aryan_west;Nawab;;;;;;;;;;;;;x
ghazi_government_duke_female_indo_aryan_west;Begum;;;;;;;;;;;;;x
ghazi_government_king_indo_aryan_west;Shah;;;;;;;;;;;;;x
ghazi_government_king_female_indo_aryan_west;Shahbanu;;;;;;;;;;;;;x
ghazi_government_kingdom_of_indo_aryan_west;Shahi of;;;;;;;;;;;;;x
ghazi_government_emperor_indo_aryan_west;Badshah;;;;;;;;;;;;;x
ghazi_government_emperor_female_indo_aryan_west;Badshahbanu;;;;;;;;;;;;;x
ghazi_government_count_dravidian_north;Zamindar;;;;;;;;;;;;;x
ghazi_government_count_female_dravidian_north;Zamindar;;;;;;;;;;;;;x
ghazi_government_county_of_dravidian_north;Jagir of;;;;;;;;;;;;;x
ghazi_government_duke_dravidian_north;Nawab;;;;;;;;;;;;;x
ghazi_government_duke_female_dravidian_north;Begum;;;;;;;;;;;;;x
ghazi_government_king_dravidian_north;Shah;;;;;;;;;;;;;x
ghazi_government_king_female_dravidian_north;Shahbanu;;;;;;;;;;;;;x
ghazi_government_kingdom_of_dravidian_north;Shahi of;;;;;;;;;;;;;x
ghazi_government_emperor_dravidian_north;Badshah;;;;;;;;;;;;;x
ghazi_government_emperor_female_dravidian_north;Badshahbanu;;;;;;;;;;;;;x
ghazi_government_count_dravidian_south;Zamindar;;;;;;;;;;;;;x
ghazi_government_count_female_dravidian_south;Zamindar;;;;;;;;;;;;;x
ghazi_government_county_of_dravidian_south;Jagir of;;;;;;;;;;;;;x
ghazi_government_duke_dravidian_south;Nawab;;;;;;;;;;;;;x
ghazi_government_duke_female_dravidian_south;Begum;;;;;;;;;;;;;x
ghazi_government_king_dravidian_south;Shah;;;;;;;;;;;;;x
ghazi_government_king_female_dravidian_south;Shahbanu;;;;;;;;;;;;;x
ghazi_government_kingdom_of_dravidian_south;Shahi of;;;;;;;;;;;;;x
ghazi_government_emperor_dravidian_south;Badshah;;;;;;;;;;;;;x
ghazi_government_emperor_female_dravidian_south;Badshahbanu;;;;;;;;;;;;;x

#Unique Indian "Nationalist" OWC Titles
count_gandhist;Mayor;;;;;;;;;;;;;x
count_female_gandhist;Mayor;;;;;;;;;;;;;x
county_of_gandhist;Council of;;;;;;;;;;;;;x
duke_gandhist;Governor;;;;;;;;;;;;;x
duke_female_gandhist;Governor;;;;;;;;;;;;;x
duchy_of_gandhist;Assembly of;;;;;;;;;;;;;x
king_gandhist;President;;;;;;;;;;;;;x
king_female_gandhist;President;;;;;;;;;;;;;x
kingdom_of_gandhist;Presidency of;;;;;;;;;;;;;x
emperor_gandhist;Union President;;;;;;;;;;;;;x
emperor_female_gandhist;Union President;;;;;;;;;;;;;x
empire_of_gandhist;Union of;;;;;;;;;;;;;x
count_gandhist;Mayor;;;;;;;;;;;;;x
count_female_gandhist;Mayor;;;;;;;;;;;;;x
county_of_gandhist;Council of;;;;;;;;;;;;;x
duke_gandhist;Governor;;;;;;;;;;;;;x
duke_female_gandhist;Governor;;;;;;;;;;;;;x
duchy_of_gandhist;Assembly of;;;;;;;;;;;;;x
king_gandhist;President;;;;;;;;;;;;;x
king_female_gandhist;President;;;;;;;;;;;;;x
kingdom_of_gandhist;Presidency of;;;;;;;;;;;;;x
emperor_gandhist;Union President;;;;;;;;;;;;;x
emperor_female_gandhist;Union President;;;;;;;;;;;;;x
empire_of_gandhist;Union of;;;;;;;;;;;;;x
count_gandhist;Mayor;;;;;;;;;;;;;x
count_female_gandhist;Mayor;;;;;;;;;;;;;x
county_of_gandhist;Council of;;;;;;;;;;;;;x
duke_gandhist;Governor;;;;;;;;;;;;;x
duke_female_gandhist;Governor;;;;;;;;;;;;;x
duchy_of_gandhist;Assembly of;;;;;;;;;;;;;x
king_gandhist;President;;;;;;;;;;;;;x
king_female_gandhist;President;;;;;;;;;;;;;x
kingdom_of_gandhist;Presidency of;;;;;;;;;;;;;x
emperor_gandhist;Union President;;;;;;;;;;;;;x
emperor_female_gandhist;Union President;;;;;;;;;;;;;x
empire_of_gandhist;Union of;;;;;;;;;;;;;x
count_gandhist;Mayor;;;;;;;;;;;;;x
count_female_gandhist;Mayor;;;;;;;;;;;;;x
county_of_gandhist;Council of;;;;;;;;;;;;;x
duke_gandhist;Governor;;;;;;;;;;;;;x
duke_female_gandhist;Governor;;;;;;;;;;;;;x
duchy_of_gandhist;Assembly of;;;;;;;;;;;;;x
king_gandhist;President;;;;;;;;;;;;;x
king_female_gandhist;President;;;;;;;;;;;;;x
kingdom_of_gandhist;Presidency of;;;;;;;;;;;;;x
emperor_gandhist;Union President;;;;;;;;;;;;;x
emperor_female_gandhist;Union President;;;;;;;;;;;;;x
empire_of_gandhist;Union of;;;;;;;;;;;;;x
count_gandhist;Mayor;;;;;;;;;;;;;x
count_female_gandhistt;Mayor;;;;;;;;;;;;;x
county_of_gandhist;Council of;;;;;;;;;;;;;x
duke_gandhist;Governor;;;;;;;;;;;;;x
duke_female_gandhist;Governor;;;;;;;;;;;;;x
duchy_of_gandhist;Assembly of;;;;;;;;;;;;;x
king_gandhist;President;;;;;;;;;;;;;x
king_female_gandhist;President;;;;;;;;;;;;;x
kingdom_of_gandhist;Presidency of;;;;;;;;;;;;;x
emperor_gandhist;Union President;;;;;;;;;;;;;x
emperor_female_gandhist;Union President;;;;;;;;;;;;;x
empire_of_gandhist;Union of;;;;;;;;;;;;;x
count_gandhist;Mayor;;;;;;;;;;;;;x
count_female_gandhist;Mayor;;;;;;;;;;;;;x
county_of_gandhist;Council of;;;;;;;;;;;;;x
duke_gandhist;Governor;;;;;;;;;;;;;x
duke_female_gandhist;Governor;;;;;;;;;;;;;x
duchy_of_gandhist;Assembly of;;;;;;;;;;;;;x
king_gandhist;President;;;;;;;;;;;;;x
king_female_gandhist;President;;;;;;;;;;;;;x
kingdom_of_gandhist;Presidency of;;;;;;;;;;;;;x
emperor_gandhist;Union President;;;;;;;;;;;;;x
emperor_female_gandhist;Union President;;;;;;;;;;;;;x
empire_of_gandhist;Union of;;;;;;;;;;;;;x
count_gandhist;Mayor;;;;;;;;;;;;;x
count_female_gandhist;Mayor;;;;;;;;;;;;;x
county_of_gandhist;Council of;;;;;;;;;;;;;x
duke_gandhist;Governor;;;;;;;;;;;;;x
duke_female_gandhist;Governor;;;;;;;;;;;;;x
duchy_of_gandhist;Assembly of;;;;;;;;;;;;;x
king_gandhist;President;;;;;;;;;;;;;x
king_female_gandhist;President;;;;;;;;;;;;;x
kingdom_of_gandhist;Presidency of;;;;;;;;;;;;;x
emperor_gandhist;Union President;;;;;;;;;;;;;x
emperor_female_gandhist;Union President;;;;;;;;;;;;;x
empire_of_gandhist;Union of;;;;;;;;;;;;;x

count_bharathamatha;Mayor;;;;;;;;;;;;;x
count_female_bharathamatha;Mayor;;;;;;;;;;;;;x
county_of_bharathamatha;Council of;;;;;;;;;;;;;x
duke_bharathamatha;Governor;;;;;;;;;;;;;x
duke_female_bharathamatha;Governor;;;;;;;;;;;;;x
duchy_of_bharathamatha;Assembly of;;;;;;;;;;;;;x
king_bharathamatha;President;;;;;;;;;;;;;x
king_female_bharathamatha;President;;;;;;;;;;;;;x
kingdom_of_bharathamatha;Presidency of;;;;;;;;;;;;;x
emperor_bharathamatha;Union President;;;;;;;;;;;;;x
emperor_female_bharathamatha;Union President;;;;;;;;;;;;;x
empire_of_bharathamatha;Union of;;;;;;;;;;;;;x
count_bharathamatha;Mayor;;;;;;;;;;;;;x
count_female_bharathamatha;Mayor;;;;;;;;;;;;;x
county_of_bharathamatha;Council of;;;;;;;;;;;;;x
duke_bharathamatha;Governor;;;;;;;;;;;;;x
duke_female_bharathamatha;Governor;;;;;;;;;;;;;x
duchy_of_bharathamatha;Assembly of;;;;;;;;;;;;;x
king_bharathamatha;President;;;;;;;;;;;;;x
king_female_bharathamatha;President;;;;;;;;;;;;;x
kingdom_of_bharathamatha;Presidency of;;;;;;;;;;;;;x
emperor_bharathamatha;Union President;;;;;;;;;;;;;x
emperor_female_bharathamatha;Union President;;;;;;;;;;;;;x
empire_of_bharathamatha;Union of;;;;;;;;;;;;;x
count_bharathamatha;Mayor;;;;;;;;;;;;;x
count_female_bharathamatha;Mayor;;;;;;;;;;;;;x
county_of_bharathamatha;Council of;;;;;;;;;;;;;x
duke_bharathamatha;Governor;;;;;;;;;;;;;x
duke_female_bharathamatha;Governor;;;;;;;;;;;;;x
duchy_of_bharathamatha;Assembly of;;;;;;;;;;;;;x
king_bharathamatha;President;;;;;;;;;;;;;x
king_female_bharathamatha;President;;;;;;;;;;;;;x
kingdom_of_bharathamatha;Presidency of;;;;;;;;;;;;;x
emperor_bharathamatha;Union President;;;;;;;;;;;;;x
emperor_female_bharathamatha;Union President;;;;;;;;;;;;;x
empire_of_bharathamatha;Union of;;;;;;;;;;;;;x
count_bharathamatha;Mayor;;;;;;;;;;;;;x
count_female_bharathamatha;Mayor;;;;;;;;;;;;;x
county_of_bharathamatha;Council of;;;;;;;;;;;;;x
duke_bharathamatha;Governor;;;;;;;;;;;;;x
duke_female_bharathamatha;Governor;;;;;;;;;;;;;x
duchy_of_bharathamatha;Assembly of;;;;;;;;;;;;;x
king_bharathamatha;President;;;;;;;;;;;;;x
king_female_bharathamatha;President;;;;;;;;;;;;;x
kingdom_of_bharathamatha;Presidency of;;;;;;;;;;;;;x
emperor_bharathamatha;Union President;;;;;;;;;;;;;x
emperor_female_bharathamatha;Union President;;;;;;;;;;;;;x
empire_of_bharathamatha;Union of;;;;;;;;;;;;;x
count_bharathamatha;Mayor;;;;;;;;;;;;;x
count_female_bharathamathat;Mayor;;;;;;;;;;;;;x
county_of_bharathamatha;Council of;;;;;;;;;;;;;x
duke_bharathamatha;Governor;;;;;;;;;;;;;x
duke_female_bharathamatha;Governor;;;;;;;;;;;;;x
duchy_of_bharathamatha;Assembly of;;;;;;;;;;;;;x
king_bharathamatha;President;;;;;;;;;;;;;x
king_female_bharathamatha;President;;;;;;;;;;;;;x
kingdom_of_bharathamatha;Presidency of;;;;;;;;;;;;;x
emperor_bharathamatha;Union President;;;;;;;;;;;;;x
emperor_female_bharathamatha;Union President;;;;;;;;;;;;;x
empire_of_bharathamatha;Union of;;;;;;;;;;;;;x
count_bharathamatha;Mayor;;;;;;;;;;;;;x
count_female_bharathamatha;Mayor;;;;;;;;;;;;;x
county_of_bharathamatha;Council of;;;;;;;;;;;;;x
duke_bharathamatha;Governor;;;;;;;;;;;;;x
duke_female_bharathamatha;Governor;;;;;;;;;;;;;x
duchy_of_bharathamatha;Assembly of;;;;;;;;;;;;;x
king_bharathamatha;President;;;;;;;;;;;;;x
king_female_bharathamatha;President;;;;;;;;;;;;;x
kingdom_of_bharathamatha;Presidency of;;;;;;;;;;;;;x
emperor_bharathamatha;Union President;;;;;;;;;;;;;x
emperor_female_bharathamatha;Union President;;;;;;;;;;;;;x
empire_of_bharathamatha;Union of;;;;;;;;;;;;;x
count_bharathamatha;Mayor;;;;;;;;;;;;;x
count_female_bharathamatha;Mayor;;;;;;;;;;;;;x
county_of_bharathamatha;Council of;;;;;;;;;;;;;x
duke_bharathamatha;Governor;;;;;;;;;;;;;x
duke_female_bharathamatha;Governor;;;;;;;;;;;;;x
duchy_of_bharathamatha;Assembly of;;;;;;;;;;;;;x
king_bharathamatha;President;;;;;;;;;;;;;x
king_female_bharathamatha;President;;;;;;;;;;;;;x
kingdom_of_bharathamatha;Presidency of;;;;;;;;;;;;;x
emperor_bharathamatha;Union President;;;;;;;;;;;;;x
emperor_female_bharathamatha;Union President;;;;;;;;;;;;;x
empire_of_bharathamatha;Union of;;;;;;;;;;;;;x

#Unique Theocratic holdings
temple_barony_of_sikh;Gurdwara of;;;;;;;;;;;;;x
temple_barony_of_jain;Vasati of;;;;;;;;;;;;;x
temple_barony_of_indian_group;Temple of;;;;;;;;;;;;;x #Generic due to the word for temple being different across the subcontient
temple_barony_of_gandhist;Hall of;;;;;;;;;;;;;x
temple_barony_of_masala;Hall of;;;;;;;;;;;;;x
temple_barony_of_bharathamatha;Hall of;;;;;;;;;;;;;x
temple_barony_of_antaraveda;Temple of;;;;;;;;;;;;;x
temple_barony_of_satyagraha;Temple of;;;;;;;;;;;;;x
temple_barony_of_jibenyuanze;Hall of;;;;;;;;;;;;;x
temple_barony_of_americanist;Court of;;;;;;;;;;;;;x
temple_barony_of_proletcult;Hall of;;;;;;;;;;;;;x
temple_barony_of_scholastic;Hall of;;;;;;;;;;;;;x

TT_IS_NEPMESE;Is A Follower of the Népmese Faith;;;;;;;;;;;;;x
dishonorable_txt;Has sinful or dishonorable traits;;;;;;;;;;;;;x

custom_pale;The Pale of Settlement;;;;;;;;;;;;;x
custom_pontic_caspian_steppe;Pontic-Caspian Steppe;;;;;;;;;;;;;x
custom_caucasus;Caucasus;;;;;;;;;;;;;x
custom_kazakh_steppe;Kazakh Steppe;;;;;;;;;;;;;x
custom_turan_desert;Turan Desert;;;;;;;;;;;;;x
custom_siberian_steppe;Siberian Steppe;;;;;;;;;;;;;x
custom_siberian_taiga;Siberian Taiga;;;;;;;;;;;;;x
custom_baikal;Baikal;;;;;;;;;;;;;x
custom_urals;Urals;;;;;;;;;;;;;x
custom_tian_shan;Tian Shan;;;;;;;;;;;;;x
custom_altay_sayan;Altay-Sayan;;;;;;;;;;;;;x
custom_pamir;Pamir;;;;;;;;;;;;;x
custom_turan_desert;Turan Desert;;;;;;;;;;;;;x
custom_tarim_basin;Tarim Basin;;;;;;;;;;;;;x
custom_italy;Italy;;;;;;;;;;;;;x
custom_denmark;Denmark;;;;;;;;;;;;;x
custom_old_spain;Old Spain;;;;;;;;;;;;;x
custom_old_france;Old France;;;;;;;;;;;;;x
custom_old_germany;Old Germany;;;;;;;;;;;;;x
custom_benelux;Benelux;;;;;;;;;;;;;x
custom_ireland;Ireland;;;;;;;;;;;;;x
world_united_kingdom;Old Albion;;;;;;;;;;;;;x
custom_austria;Austria;;;;;;;;;;;;;x
custom_switzerland;Switzerland and Liechtenstein;;;;;;;;;;;;;x
custom_old_portugal;Old Portugal;;;;;;;;;;;;;x
custom_western_europe;Western Europe;;;;;;;;;;;;;x
custom_oman;Oman;;;;;;;;;;;;;x
custom_yemen;Yemen;;;;;;;;;;;;;x
custom_najd;Najd;;;;;;;;;;;;;x
custom_hejaz;Hejaz;;;;;;;;;;;;;x
custom_bahrain;Bahrain;;;;;;;;;;;;;x
custom_fertile_crescent;Fertile Crescent;;;;;;;;;;;;;x
custom_morocco;Morocco;;;;;;;;;;;;;x
custom_sahara;Sahara;;;;;;;;;;;;;x
custom_algeria;Algeria;;;;;;;;;;;;;x
custom_tunisia;Tunisia;;;;;;;;;;;;;x
custom_libya;Libya;;;;;;;;;;;;;x
custom_old_egypt;Old Egypt;;;;;;;;;;;;;x
custom_north_africa;North Africa;;;;;;;;;;;;;x
custom_turkey;Turkey;;;;;;;;;;;;;x
custom_finland;Finland;;;;;;;;;;;;;x
custom_arabian_pennisula;Arabian Pennisula;;;;;;;;;;;;;x
custom_scotland;Scotland;;;;;;;;;;;;;x
custom_pannorian_basin;Pannorian Basin;;;;;;;;;;;;;x
custom_yugoslavia;Yugoslavia;;;;;;;;;;;;;x
custom_southern_balkans;Southern Balkans;;;;;;;;;;;;;x
custom_balkans;Balkans;;;;;;;;;;;;;x
custom_slavic_europe;Slavic Europe;;;;;;;;;;;;;x
custom_baltic;Baltic;;;;;;;;;;;;;x
custom_czechoslovakia;Czechoslovakia;;;;;;;;;;;;;x
custom_belarus;Belarus;;;;;;;;;;;;;x
custom_the_ukraine;The Ukraine;;;;;;;;;;;;;x
custom_old_poland;Old Poland;;;;;;;;;;;;;x
custom_european_russia;European Russia;;;;;;;;;;;;;x
custom_eastern_europe;Eastern Europe;;;;;;;;;;;;;x
custom_europe;Europe;;;;;;;;;;;;;x
custom_hetmanate;Noble Republic Range;;;;;;;;;;;;;x
custom_xinjiang;Xinjiang;;;;;;;;;;;;;x
custom_guiyi;Guiyi;;;;;;;;;;;;;x
custom_northern_india;Northern India;;;;;;;;;;;;;x
custom_southern_india;Southern India;;;;;;;;;;;;;x
world_india;The Indian Subcontinent;;;;;;;;;;;;;x
world_great_steppe;The Eurasian Steppe;;;;;;;;;;;;;x
world_siberia;The Great Siberian Expanse;;;;;;;;;;;;;x
custom_greater_tibet;Greater Tibet;;;;;;;;;;;;;x
world_himalayas;Himalayan Region;;;;;;;;;;;;;x
world_greater_iran;Greater Iran;;;;;;;;;;;;;x
custom_iran;Iran;;;;;;;;;;;;;x
custom_mongolia;Mongolia;;;;;;;;;;;;;x
custom_tataria;Tataria;;;;;;;;;;;;;x
custom_sudan;Sudan;;;;;;;;;;;;;x
custom_east_africa;East Africa;;;;;;;;;;;;;x
custom_sudan;Ethiopia;;;;;;;;;;;;;x
custom_sudan;Somalia;;;;;;;;;;;;;x

#Societies
warrior_lodge_glorian;The Knights of the Round Table;;;;;;;;;;;;;x
warrior_lodge_glorian_desc;In the service of Her Majesty the Queen, the Venerable Knights of the Round Table prepare themselves with questing and combat for the return of Her Majesty. For when the Queen returns to claim her Throne of Albion, she will have need of her noble Knights again. And only the mostly noble, valiant and strong will be allowed to serve her.;;;;;;;;;;;;;x
warrior_lodge_glorian_rank_1_female;Page;;;;;;;;;;;;;x
warrior_lodge_glorian_rank_2_female;Air-Squire;;;;;;;;;;;;;x
warrior_lodge_glorian_rank_3_female;Lady Sergeant;;;;;;;;;;;;;x
warrior_lodge_glorian_rank_4_female;Lady Marshal;;;;;;;;;;;;;x
warrior_lodge_glorian_rank_1_male;Page;;;;;;;;;;;;;x
warrior_lodge_glorian_rank_2_male;Air-Squire;;;;;;;;;;;;;x
warrior_lodge_glorian_rank_3_male;Lord Sergeant;;;;;;;;;;;;;x
warrior_lodge_glorian_rank_4_male;Lord Marshal;;;;;;;;;;;;;x

currency_name_warrior_lodge_glorian;Chivalry;;;;;;;;;;;;;x

religion_openly_glorian_trigger;Openly Follows the [GetName.glorian] Faith;;;;;;;;;;;;;x
religion_openly_glorian_trigger_tooltip;Openly Follows the [GetName.glorian] Faith;;;;;;;;;;;;;x

recently_cursed_province_cooldown;Recently Cursed a Province;;;;;;;;;;;;;x
tooltip_cursing_provinces;You haven't cursed a province in the last 10 years;;;;;;;;;;;;;x

cursing_provinces_turkish;Curse this province;;;;;;;;;;;;;x
cursing_provinces_turkish_desc;As a ruler, you can extend your displeasure to an entire province, economically strangling it so as to make it unproductive for its holder, at the cost of some of your vassals' goodwill...;;;;;;;;;;;;;x
turkish_cursed_province;Cursed Province;;;;;;;;;;;;;x
laying_curses;Laying Curses;;;;;;;;;;;;;x

#Culture Merging Events

EVTDESC_melting_pot_1;For as long as have ruled here, we Celts have entrusted the raising of our children to British nursemaids. Our first words would not be Gaelic but "British". As we grew up we learned to speak a tongue that was neither one nor the other. Now is this time to make this tongue our own so we may all communicate.;;;;;;;;;x
EVTOPTA_melting_pot_1;Yes let us be one with our serfs;Oui, ne faisons qu'un avec nos serfs !;Jawohl, lasst uns eins mit unseren Leibeigenen sein;;Sí, seamos uno con nuestros vasallos;;;;;;;;;x
EVTDESC_melting_pot_2;Around our lands more people speak this new tongue, but some most observant elders of society speak in whispers that such a tongue seem eerily familar to an ancient tongue long thought forgotten. I find this name they speak of "Brythonic" a much pleasing name indeed. Perhaps this tongue is even more prestigious than one thought? We continue to use our own influence to promote this means of communication in the interests of a more efficient realm.;;;;;;;;;x
EVTOPTA_melting_pot_2;We are indeed wise;Nous sommes habiles.;Oh, was sind wir weise;;Sin duda somos sabios;;;;;;;;;x
EVTDESC_melting_pot_3;Although every civilized man knows that the venerable Celtic Tongue is the true language of communication, this new tongue does have a certain functionality. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;;;;;;;;;x
EVTOPTA_melting_pot_3;A most useful development;Une évolution très utile.;Eine höchst nützliche Entwicklung;;Un avance muy útil;;;;;;;;;x
EVTDESC_melting_pot_4;I was considering important business when I had an amazing insight. To strengthen my realm I must bring my vassals round to my way of thinking. This involves communication. If I can get them to communicate like me then I will have a much smoother running realm.;Je réfléchissais à une affaire importante lorsque j'ai eu une idée étonnante. Pour renforcer mon Royaume, je dois convertir mes vassaux à ma façon de penser. Cela passe par la communication. Si je parviens à leur faire adopter mon mode de communication, mon Royaume fonctionnera beaucoup mieux.;Beim Nachdenken über ein wichtiges Geschäft kam ich zu einer erstaunlichen Einsicht: Zur Stärkung meines Reichs muss ich meine Vasallen von meiner Denkweise überzeugen, und dazu gehört auch die Kommunikation. Wenn ich es schaffen könnte, dass alle wie ich kommunizieren, so wäre mein Reich viel einfacher zu regieren.;;Estaba ocupado con asuntos importantes cuando tuve una súbita revelación. Para reforzar mi reino debo lograr que mis vasallos compartan mi forma de pensar. Eso implica comunicación. Si logro que se comuniquen como yo mi reino funcionará mucho mejor.;;;;;;;;;x
EVTOPTA_melting_pot_4;Sometimes I even surprise myself;Parfois, je m'étonne moi-même.;Manchmal überrasche ich mich selbst;;A veces me sorprendo a mí mismo;;;;;;;;;x
EVTDESC_melting_pot_5;My liege has persuaded me to embrace this notion of a united Brittonic Identity that is sweeping the realm.;;;;;;;;;x
EVTOPTA_melting_pot_5;Anyone want a pint to drink?;;;;;;;;;x

DEATH_WENT_TO_AMERICA_NO_KILLER;left their old life behind to travel deep into the Atlantic disappearing in search of a new life;ont laissé leur ancienne vie derrière eux pour voyager profondément dans l’Atlantique, disparaissant à la recherche d’une nouvelle vie.;ließen ihr altes Leben, um tief in den Atlantik zu reisen und auf der Suche nach einem neuen Leben zu verschwinden;;dejaron atrás su antigua vida para viajar a lo profundo del Atlántico desapareciendo en busca de una nueva vida.;;;;;;;;;x
DEATH_WENT_TO_AMERICA;left their old life behind to travel deep into the Atlantic disappearing in search of a new life, on the order of $KILLER$;ont laissé leur ancienne vie derrière eux pour voyager profondément dans l’Atlantique, disparaissant à la recherche d’une nouvelle vie., sur ordre de $KILLER$;ließen ihr altes Leben, um tief in den Atlantik zu reisen und auf der Suche nach einem neuen Leben zu verschwinden auf Befehl von $KILLER$;;dejaron atrás su antigua vida para viajar profundamente en el Atlántico desapareciendo en busca de una nueva vida, por orden de $KILLER$;;;;;;;;;x

##Navayana Dalit Harvest##
aid_harvest;Aid the Harvest;;;;;;;;;;;;;x
aid_harvest_desc;Being more fortunate in society should not preclude you from being like your subjects and partaking in the yearly harvest.;;;;;;;;;;;;;x
aided_harvest;Aided the Harvest;;;;;;;;;;;;;x

EVTDESC_budevents_8;It is time to bring in the harvest, and it is the duty of every one to assist their fellow compatriot as per the example laid by Guru Ambedkar.;;;;;;;;;;;;;x
EVTOPTA_budevents_8;A generous person will prosper.;;;;;;;;;;;;;x
EVTOPTB_budevents_8;I will do what is necessary.;;;;;;;;;;;;;x

EVTDESC_budevents_9;While bringing in the harvest, an unfortunate accident occurs due to human error. A swing of a sickle, the kick from an oxen, being trampled by a horse, all things possible during such a time.;;;;;;;;;;;;;x
EVTOPTA_budevents_9;Owww!;;;;;;;;;;;;;x

EVTDESC_budevents_10;While bringing in the harvest, the hardworking ruler has borne their work well and feels healthier and more strapping.;;;;;;;;;;;;;x
EVTOPTA_budevents_10;I feel better than ever!;;;;;;;;;;;;;x

EVTDESC_budevents_11;While bringing in the harvest, you catch the eye of a comely young peasant who is also participating in the harvest. Their eyes indicate interest, want deeply felt.;;;;;;;;;;;;;x
EVTOPTA_budevents_11;My dear...;;;;;;;;;;;;;x
EVTOPTB_budevents_11;My love...;;;;;;;;;;;;;x
EVTOPTC_budevents_11;I have better things to do.;;;;;;;;;;;;;x

EVTDESC_budevents_12;While bringing in the harvest, nothing of note happens, but it is a success nonetheless.;;;;;;;;;;;;;x
EVTOPTA_budevents_12;Arise, for it is your task, be strong and do it.;;;;;;;;;;;;;x

#Navjote Localizations ;;;;;;;;;;;;;;
navjote;Prepare Grand Navjote;;;;;;;;;;;;;x
navjote_named;Prepare Grand Navjote;;;;;;;;;;;;;x
navjote_desc;As your child is soon of age you can choose to hold a grand Navjote for [Root.GetHerHim], inviting your vassals and the members of your court. This can help build trust that will certainly prove useful for the child in the future.;;;;;;;;;;;;;x
navjote_custom_tooltip;Send out the invitations.;;;;;;;;;;;;;x

EVTDESC_navjote_1;The day of [navjote_target.GetBestName]'s Navjote is soon approaching, and excitement builds in the palace. Your Magi [Root.job_spiritual.GetBestName] has offered to personally prepare [navjote_target.GetHerHim] in the final month, to understand the Ahuna Vairya so that they are prepared to give their oath.;;;;;;;;;;;;;x
EVTOPTA_navjote_1;[Root.job_spiritual.GetBestName] will prepare my [navjote_target.GetSonDaughter].;;;;;;;;;;;;;x
EVTOPTB_navjote_1;I can prepare [navjote_target.GetBestName] for the Navjote myself!;;;;;;;;;;;;;x
EVTOPTC_navjote_1;[navjote_target.GetBestName] can figure it out on [navjote_target.GetHerHis] own.;;;;;;;;;;;;;x
EVTDES1_navjote_2;The day has arrived. At your family's atashgah [navjote_target.GetBestName] approaches the atar brimming with a regal confidence. [navjote_target.GetSheHeCap] reads [navjote_target.GetHerHis] Ahuna Vairya portion effortlessly, followed by a statement of faith, din no kalmo, with a conviction that impresses even the most cynical of your vassals.;;;;;;;;;;;;;x
EVTDES2_navjote_2;The day has arrived. At your family's atashgah [navjote_target.GetBestName] approaches the atar shaking nervously. [navjote_target.GetSheHeCap] stumbles [navjote_target.GetHerHis] way through the passage, constantly stopping for corrections from an uneased samaritan. Your vassals cringe in pity as [navjote_target.GetFirstName] attempts to deliver a clumsy statement of faith clearly written the night before.;;;;;;;;;;;;;x
EVTOPTA_navjote_2;I'm so proud!;;;;;;;;;;;;;x
EVTOPTB_navjote_2;That fool!;;;;;;;;;;;;;x
EVTDESC_navjote_3;In the celebration after, you see [navjote_target.GetBestName] and [compliment_vassal.GetBestName] discussing intently some issue brought up in [navjote_target.GetHerHis] Avesta like the sayings of Zarathustra, with [navjote_target.GetFirstName] displaying a maturity you didn't realize [navjote_target.GetSheHe] had. Afterwards [compliment_vassal.GetFirstName] pull you aside to tell you just how impressed [compliment_vassal.GetSheHe] is.;;;;;;;;;;;;;x
EVTOPTA_navjote_3;That's my [navjote_target.GetSonDaughter]!;;;;;;;;;;;;;x
